email,password_hash,full_name,role,is_active,institution_id,created_at,updated_at,batch,branch
aarav.acharya@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aarav Acharya,faculty,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,B.Sc. Biochem
aanya.adiga@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aanya Adiga,faculty,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,M.Sc. Maths
aarush.agarwal@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aarush Agarwal,faculty,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,B.E. CSE
aayush.agnihotri@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aayush Agnihotri,faculty,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,M.Tech. DS
advait.ahluwalia@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Advait Ahluwalia,faculty,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,BBA
aditi.ahuja@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aditi Ahuja,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
agastya.aiyer@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Agastya Aiyer,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
aahana.akula@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aahana Akula,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
akash.alam@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Akash Alam,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
akshara.alva@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Akshara Alva,student,t,1,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,B.Sc. Biochem
