email,password_hash,full_name,role,avatar_url,is_active,department,institution_id,created_at,updated_at,batch,class,branch
aahana.akula@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aahana Akula,student,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2026,,B.Sc. Biochem
aanya.adiga@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aanya Adiga,faculty,,t,M.Sc. Maths,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,,M.Sc. Maths
aarav.acharya@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aarav Acharya,faculty,,t,B.Sc. Biochem,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,,B.Sc. Biochem
aarush.agarwal@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aarush Agarwal,faculty,,t,B.E. CSE,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,,B.E. CSE
aayush.agnihotri@dgvaishnav.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Aayush Agnihotri,faculty,,t,M.Tech. DS,183b3f5e-8a32-4972-ac8b-cf77dfe6a6c5,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,,,M.Tech. DS
abhay.nangia@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Abhay Nangia,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
abigail.naoroji@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Abigail Naoroji,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
abraham.narang@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Abraham Narang,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
adaline.narayanan@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adaline Narayanan,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
adam.narayan@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adam Narayan,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
ada.narasimhan@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Ada Narasimhan,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
adelaide.narendran@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adelaide Narendran,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
adele.nariman@presidency.edu.in,"$argon2id$v=19$m=19456,t=2,p=1$eArnrLW1/rRzVwcR87bxEw$2A/rMWXO2MalZdh5hd4gbWYexoYip6qPZDyC0jg96MM",Adele Nariman,student,,t,M.Sc. Maths,785e7c89-2068-4c2c-8790-dbcf18b64a4a,2026-09-07 02:00:06.879652+00,2026-09-07 02:00:06.879652+00,2027,,M.Sc. Maths
